ExG0407,ExG0412,ExG0415,ExG0427,ExG0506,ExG0516,ExG0520,ExG0523,ExG0527,ExG0531,ExG0602,ExG0614,ExG0617,ExG0620,ExG0623,ExG0627,ExG0630,ExG0713,ExG0716,ExG0719,ExG0721,ExG0725,ExG0728,ExG0802,ExG0808,ExG0812,ExG0818
-0.015341,-0.008799,-0.011782,-0.009647,0.006432,0.045369,0.06671,0.118232,0.086414,0.132299,0.278963,0.409702,0.378439,0.467189,0.429936,0.423319,0.386722,0.370237,0.377087,0.358851,0.36565,0.330771,0.311261,0.189838,0.083199,-0.033763,-0.04226
-0.016088,-0.013256,-0.016238,-0.009739,0.006821,0.035459,0.054159,0.103761,0.086559,0.145187,0.295997,0.387418,0.374431,0.466286,0.427077,0.437064,0.373039,0.384571,0.380016,0.356392,0.352172,0.345507,0.340069,0.239931,0.127399,-0.019555,-0.039369
-0.014549,-0.00933,-0.00944,-0.007924,0.018961,0.089229,0.1099,0.162991,0.128393,0.182752,0.3682,0.391619,0.418547,0.483366,0.437098,0.484706,0.398368,0.381872,0.380377,0.317228,0.326307,0.266817,0.296776,0.15501,0.06222,-0.055567,-0.058464
-0.01661,-0.009965,-0.008078,-0.005063,0.024988,0.084085,0.115325,0.17744,0.136237,0.188447,0.386091,0.454312,0.438474,0.485472,0.453743,0.517464,0.437201,0.388162,0.4087,0.319646,0.360099,0.332422,0.337734,0.186943,0.084912,-0.048953,-0.054435
-0.017195,-0.004736,-0.005035,0.001505,0.064134,0.150556,0.188048,0.258783,0.223165,0.245383,0.443815,0.465356,0.493642,0.520943,0.500597,0.501499,0.406827,0.428473,0.434789,0.384428,0.422268,0.447737,0.39481,0.280685,0.190673,-0.021839,-0.042763
-0.016388,-0.004323,-0.008025,-0.000257,0.052764,0.139579,0.184384,0.245311,0.208622,0.247146,0.477109,0.481409,0.502304,0.531721,0.472009,0.498017,0.420802,0.429032,0.40927,0.393889,0.41873,0.442785,0.389788,0.26719,0.176107,-0.032907,-0.043874
-0.015874,-0.000484,-0.00578,0.000332,0.044931,0.143343,0.184967,0.241495,0.201756,0.234571,0.432214,0.475175,0.488916,0.515117,0.448071,0.501842,0.408731,0.42741,0.393398,0.367885,0.382414,0.378353,0.340953,0.196831,0.12186,-0.024731,-0.049714
-0.014061,0.002349,-0.007462,0.001281,0.041142,0.133321,0.169188,0.226214,0.189511,0.214058,0.404228,0.497393,0.486003,0.525615,0.460616,0.512431,0.41739,0.414051,0.389879,0.358092,0.369628,0.345811,0.301301,0.155406,0.089009,-0.02005,-0.050613
-0.0136,0.000739,-0.004839,-0.003265,0.015468,0.06766,0.093824,0.139146,0.111476,0.149921,0.302054,0.387261,0.398706,0.475317,0.443792,0.468348,0.399122,0.391835,0.372269,0.305282,0.31119,0.245281,0.216242,0.07646,0.003117,-0.028286,-0.049442
-0.01393,-0.001044,-0.006658,-0.005799,0.014009,0.041936,0.061991,0.104816,0.087477,0.131323,0.283895,0.377432,0.378477,0.474978,0.431025,0.425839,0.401001,0.380696,0.39343,0.317835,0.338342,0.293998,0.271245,0.138571,0.03008,-0.030945,-0.041643
-0.01296,0.001155,-0.008788,-0.006241,0.013752,0.066646,0.089016,0.138071,0.115319,0.163087,0.307507,0.383324,0.403302,0.447088,0.417552,0.434119,0.357988,0.396303,0.432368,0.38929,0.409855,0.405503,0.350119,0.238951,0.113176,-0.029431,-0.053951
-0.013989,0.001299,-0.010755,-0.004539,0.016437,0.068018,0.084854,0.145889,0.120815,0.172972,0.366461,0.421075,0.43558,0.46042,0.446793,0.453995,0.381445,0.397554,0.454896,0.419383,0.418289,0.4354,0.354792,0.227859,0.107658,-0.018914,-0.053483
-0.013084,0.003881,-0.013362,-0.0054,0.014195,0.041984,0.063663,0.13371,0.095038,0.163372,0.325088,0.425764,0.419113,0.462657,0.442831,0.482638,0.368736,0.404156,0.431221,0.441338,0.439558,0.464344,0.394281,0.272024,0.155962,0.006696,-0.026854
-0.013542,0.006992,-0.011699,0.003261,0.054519,0.148912,0.163716,0.244019,0.191771,0.246164,0.418307,0.484187,0.484308,0.500297,0.440811,0.481487,0.381122,0.396748,0.387289,0.382594,0.39158,0.388126,0.323396,0.194065,0.087754,-0.025463,-0.044394
-0.015977,0.008015,-0.007606,0.002114,0.054791,0.135348,0.162818,0.238654,0.19259,0.233011,0.416136,0.493711,0.498865,0.523632,0.445463,0.497646,0.416749,0.435312,0.422489,0.435196,0.430321,0.473452,0.391105,0.249389,0.143325,-0.031628,-0.032872
-0.01633,0.007949,-0.008411,0.002386,0.060768,0.127689,0.156508,0.214252,0.176744,0.227346,0.420281,0.478418,0.481722,0.499852,0.448961,0.464897,0.410045,0.412594,0.404337,0.406355,0.402952,0.420073,0.342816,0.222734,0.128621,-0.027104,-0.033153
-0.014861,0.005854,-0.01355,-0.0039,0.020939,0.060798,0.079538,0.128793,0.111561,0.168047,0.322233,0.438004,0.439753,0.487378,0.427469,0.43839,0.404568,0.40098,0.398251,0.377736,0.379407,0.361641,0.326309,0.200075,0.103777,-0.022336,-0.041308
-0.017909,0.004474,-0.012545,-0.006453,0.009524,0.01949,0.035488,0.084695,0.076518,0.151523,0.292027,0.354413,0.362215,0.437294,0.375059,0.38921,0.395285,0.386324,0.401618,0.382393,0.390975,0.383949,0.364698,0.227052,0.139949,-0.014066,-0.02826
-0.015758,0.005803,-0.002698,0.000101,0.042899,0.118816,0.147055,0.208926,0.173896,0.22962,0.402942,0.460938,0.500677,0.504502,0.460359,0.461673,0.42681,0.407946,0.396579,0.35693,0.355931,0.338107,0.311288,0.16899,0.088138,-0.036127,-0.039789
-0.015799,0.005805,-0.007924,-0.001894,0.035717,0.10676,0.14204,0.204601,0.164475,0.220661,0.412041,0.476221,0.492775,0.512437,0.453805,0.481498,0.426244,0.432477,0.416849,0.401323,0.405145,0.38834,0.342438,0.200846,0.118612,-0.033312,-0.046931
-0.011922,0.004382,-0.007545,-0.000459,0.033493,0.114105,0.146943,0.20924,0.169632,0.225838,0.439357,0.470616,0.488049,0.506445,0.448322,0.486498,0.410918,0.44165,0.408871,0.414141,0.396347,0.396538,0.333332,0.196126,0.116018,-0.040125,-0.052299
-0.009753,0.001236,-0.011052,0.000341,0.041571,0.132271,0.154803,0.216482,0.188285,0.23685,0.447432,0.471005,0.46177,0.499228,0.436909,0.477399,0.390679,0.420049,0.381866,0.373229,0.342377,0.331967,0.279538,0.151505,0.081123,-0.039774,-0.041993
-0.007938,-0.000666,-0.006984,0.001265,0.036938,0.107434,0.133464,0.184706,0.168764,0.206279,0.416718,0.466017,0.460012,0.521921,0.461101,0.489738,0.423165,0.409933,0.392274,0.363057,0.341404,0.318894,0.268049,0.124672,0.053879,-0.052833,-0.035681
-0.008982,-0.002034,-0.008703,-0.001339,0.031519,0.086078,0.104446,0.146673,0.143838,0.18774,0.382366,0.427061,0.424378,0.47787,0.425073,0.444563,0.402737,0.364925,0.351993,0.302511,0.294907,0.25319,0.230144,0.088209,0.031149,-0.050736,-0.030615
